2025-01-28 11:38:50 ~ DFA | com.co.ke.main.EntryPoint | 201 | lambda$null$1() | Response to channel - {"responseCode":"999","responseDescription":"failed to process request","error_data":"No handlers for address VALIDATION"}
2025-01-28 12:42:22 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-28 12:46:56 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-28 12:46:56 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-28 12:49:29 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-28 12:49:29 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-28 12:53:56 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-28 12:53:56 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-28 13:02:31 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-28 13:02:31 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-28 13:07:31 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-28 13:07:31 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-28 23:30:48 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-28 23:30:48 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-28 23:32:08 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-28 23:32:08 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-28 23:43:41 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-28 23:43:41 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-28 23:44:00 ~ DFA | com.co.ke.main.EntryPoint | 195 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"999000 failed","error_data":"Timed out after waiting 90000(ms) for a reply. address: __vertx.reply.7, repliedAddress: 999000"}


2025-01-28 23:45:43 ~ DFA | com.co.ke.main.EntryPoint | 195 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"999000 failed","error_data":"Timed out after waiting 90000(ms) for a reply. address: __vertx.reply.15, repliedAddress: 999000"}


2025-01-28 23:46:12 ~ DFA | com.co.ke.main.EntryPoint | 195 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"999000 failed","error_data":"Timed out after waiting 90000(ms) for a reply. address: __vertx.reply.18, repliedAddress: 999000"}


2025-01-28 23:47:42 ~ DFA | com.co.ke.main.EntryPoint | 195 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"999000 failed","error_data":"Timed out after waiting 90000(ms) for a reply. address: __vertx.reply.21, repliedAddress: 999000"}


2025-01-28 23:48:37 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-28 23:48:37 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-28 23:55:01 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-28 23:55:01 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


2025-01-28 23:58:45 ~ DFA | com.aogroup.za.adaptors.Integrator | 102 | requestToThirdParty() | Error - Connection refused: connect


2025-01-28 23:58:45 ~ DFA | com.aogroup.za.adaptors.Integrator | 58 | sendToThirdParty() | Error - Failed to decode: null


