2025-02-01 21:03:14 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"Error! User has been deactivated "}
2025-02-01 22:00:48 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"000","responseDescription":"Performance targets fetched successfully","objectives":[{"ObjectiveId":"70267280-E9D4-4609-999F-48FADC2D70B4","ObjectiveName":"Customer Engagement","Subtasks":[{"SubtasksId":"44C5D481-3619-4B52-911F-736939CEF8E6","SubtaskName":"Meeting 3 HNW every week","WeeklyExpectedTarget":"3","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"12","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"36","QuarterlyAchievedTarget":"0"},{"SubtasksId":"2820D253-26EC-40D4-9D1A-A69050A97096","SubtaskName":"Engage one chama/focus group every week","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"0"},{"SubtasksId":"77CBA959-AB28-4123-B541-D0561885C425","SubtaskName":"Call 2 medium customers every day","WeeklyExpectedTarget":"14","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"60","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"180","QuarterlyAchievedTarget":"0"},{"SubtasksId":"60AA85D6-4998-4724-A8D4-E7CEBD6B60A5","SubtaskName":"one Member information day per quarter","WeeklyExpectedTarget":"0","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"0","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"1","QuarterlyAchievedTarget":"0"}]},{"ObjectiveId":"DB72C2FC-5934-4769-9A38-5C32BBA877D2","ObjectiveName":"Channels/digital banking","Subtasks":[{"SubtasksId":"B28C06F6-816D-49A5-B645-85A0D3797BBF","SubtaskName":"Leveraging personal contacts for introductions and or networking opportunities","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"0"},{"SubtasksId":"2C330A0D-764C-43A4-9D23-9C9538D878BF","SubtaskName":"Participate in Industry Events: Attend industry conferences, trade shows, and virtual events to network and generate leads.","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"5","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"15","QuarterlyAchievedTarget":"0"}]},{"ObjectiveId":"E6E2BEAA-08BE-41B6-ABA6-B4134B946E90","ObjectiveName":"Loan Book Growth","Subtasks":[{"SubtasksId":"9075A195-674A-4446-AC0D-8930DBE2B063","SubtaskName":"Bi-weekly one on one sessions with members of the team","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"0"},{"SubtasksId":"712AFDC3-7678-4D7C-BD55-A320B92F3392","SubtaskName":"Implement 1 new initiative based on team member feedback","WeeklyExpectedTarget":"0","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"0","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"1","QuarterlyAchievedTarget":"0"},{"SubtasksId":"4DD85525-D260-42D0-B89E-DBD865A01276","SubtaskName":"Best Perfroming Team Member reward and exncouragement program","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"2","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"2","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"2"}]},{"ObjectiveId":"93CA3E15-24A7-4EA3-88FF-DFD67532B7D0","ObjectiveName":"Deposit Mobilization","Subtasks":[{"SubtasksId":"C986E0F1-935A-4C04-B45B-04C4800C0257","SubtaskName":"Account Management - 3 Customer Visits weekely to check on experience and resolve any arising issues","WeeklyExpectedTarget":"3","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"12","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"36","QuarterlyAchievedTarget":"0"},{"SubtasksId":"10294165-BD77-4EF5-A569-1FCE09995207","SubtaskName":"Random checkins on big account customers for feedback and or suggestions","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"0"},{"SubtasksId":"BBB386FF-392C-48E1-99FE-869E28557DCE","SubtaskName":"onboarding 4 collections paybill every week","WeeklyExpectedTarget":"4","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"16","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"48","QuarterlyAchievedTarget":"0"}]}]}


2025-02-01 22:24:24 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"Error: The column name ObjectivePercentage is not valid."}


2025-02-01 22:27:16 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"Error: java.lang.String cannot be cast to java.lang.Number"}


2025-02-01 22:28:49 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"000","responseDescription":"Performance targets fetched successfully","objectives":[{"ObjectiveId":"70267280-E9D4-4609-999F-48FADC2D70B4","ObjectiveName":"Customer Engagement","Subtasks":[{"SubtasksId":"44C5D481-3619-4B52-911F-736939CEF8E6","SubtaskName":"Meeting 3 HNW every week","WeeklyExpectedTarget":"3","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"12","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"36","QuarterlyAchievedTarget":"0"},{"SubtasksId":"2820D253-26EC-40D4-9D1A-A69050A97096","SubtaskName":"Engage one chama/focus group every week","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"0"},{"SubtasksId":"77CBA959-AB28-4123-B541-D0561885C425","SubtaskName":"Call 2 medium customers every day","WeeklyExpectedTarget":"14","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"60","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"180","QuarterlyAchievedTarget":"0"},{"SubtasksId":"60AA85D6-4998-4724-A8D4-E7CEBD6B60A5","SubtaskName":"one Member information day per quarter","WeeklyExpectedTarget":"0","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"0","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"1","QuarterlyAchievedTarget":"0"}],"ObjectivePercentage":"0.00"},{"ObjectiveId":"DB72C2FC-5934-4769-9A38-5C32BBA877D2","ObjectiveName":"Channels/digital banking","Subtasks":[{"SubtasksId":"B28C06F6-816D-49A5-B645-85A0D3797BBF","SubtaskName":"Leveraging personal contacts for introductions and or networking opportunities","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"0"},{"SubtasksId":"2C330A0D-764C-43A4-9D23-9C9538D878BF","SubtaskName":"Participate in Industry Events: Attend industry conferences, trade shows, and virtual events to network and generate leads.","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"5","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"15","QuarterlyAchievedTarget":"0"}],"ObjectivePercentage":"0.00"},{"ObjectiveId":"E6E2BEAA-08BE-41B6-ABA6-B4134B946E90","ObjectiveName":"Loan Book Growth","Subtasks":[{"SubtasksId":"9075A195-674A-4446-AC0D-8930DBE2B063","SubtaskName":"Bi-weekly one on one sessions with members of the team","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"0"},{"SubtasksId":"712AFDC3-7678-4D7C-BD55-A320B92F3392","SubtaskName":"Implement 1 new initiative based on team member feedback","WeeklyExpectedTarget":"0","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"0","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"1","QuarterlyAchievedTarget":"0"},{"SubtasksId":"4DD85525-D260-42D0-B89E-DBD865A01276","SubtaskName":"Best Perfroming Team Member reward and exncouragement program","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"2","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"2","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"2"}],"ObjectivePercentage":"8.00"},{"ObjectiveId":"93CA3E15-24A7-4EA3-88FF-DFD67532B7D0","ObjectiveName":"Deposit Mobilization","Subtasks":[{"SubtasksId":"C986E0F1-935A-4C04-B45B-04C4800C0257","SubtaskName":"Account Management - 3 Customer Visits weekely to check on experience and resolve any arising issues","WeeklyExpectedTarget":"3","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"12","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"36","QuarterlyAchievedTarget":"0"},{"SubtasksId":"10294165-BD77-4EF5-A569-1FCE09995207","SubtaskName":"Random checkins on big account customers for feedback and or suggestions","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"0"},{"SubtasksId":"BBB386FF-392C-48E1-99FE-869E28557DCE","SubtaskName":"onboarding 4 collections paybill every week","WeeklyExpectedTarget":"4","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"16","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"48","QuarterlyAchievedTarget":"0"}],"ObjectivePercentage":"0.00"}]}


2025-02-01 22:35:16 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"000","responseDescription":"Performance targets fetched successfully","objectives":[{"ObjectiveId":"70267280-E9D4-4609-999F-48FADC2D70B4","ObjectiveName":"Customer Engagement","ObjectivePercentage":"0.00","Subtasks":[{"SubtasksId":"44C5D481-3619-4B52-911F-736939CEF8E6","SubtaskName":"Meeting 3 HNW every week","WeeklyExpectedTarget":"3","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"12","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"36","QuarterlyAchievedTarget":"0"},{"SubtasksId":"2820D253-26EC-40D4-9D1A-A69050A97096","SubtaskName":"Engage one chama/focus group every week","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"0"},{"SubtasksId":"77CBA959-AB28-4123-B541-D0561885C425","SubtaskName":"Call 2 medium customers every day","WeeklyExpectedTarget":"14","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"60","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"180","QuarterlyAchievedTarget":"0"},{"SubtasksId":"60AA85D6-4998-4724-A8D4-E7CEBD6B60A5","SubtaskName":"one Member information day per quarter","WeeklyExpectedTarget":"0","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"0","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"1","QuarterlyAchievedTarget":"0"}]},{"ObjectiveId":"DB72C2FC-5934-4769-9A38-5C32BBA877D2","ObjectiveName":"Channels/digital banking","ObjectivePercentage":"0.00","Subtasks":[{"SubtasksId":"B28C06F6-816D-49A5-B645-85A0D3797BBF","SubtaskName":"Leveraging personal contacts for introductions and or networking opportunities","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"0"},{"SubtasksId":"2C330A0D-764C-43A4-9D23-9C9538D878BF","SubtaskName":"Participate in Industry Events: Attend industry conferences, trade shows, and virtual events to network and generate leads.","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"5","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"15","QuarterlyAchievedTarget":"0"}]},{"ObjectiveId":"E6E2BEAA-08BE-41B6-ABA6-B4134B946E90","ObjectiveName":"Loan Book Growth","ObjectivePercentage":"8.00","Subtasks":[{"SubtasksId":"9075A195-674A-4446-AC0D-8930DBE2B063","SubtaskName":"Bi-weekly one on one sessions with members of the team","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"0"},{"SubtasksId":"712AFDC3-7678-4D7C-BD55-A320B92F3392","SubtaskName":"Implement 1 new initiative based on team member feedback","WeeklyExpectedTarget":"0","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"0","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"1","QuarterlyAchievedTarget":"0"},{"SubtasksId":"4DD85525-D260-42D0-B89E-DBD865A01276","SubtaskName":"Best Perfroming Team Member reward and exncouragement program","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"2","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"2","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"2"}]},{"ObjectiveId":"93CA3E15-24A7-4EA3-88FF-DFD67532B7D0","ObjectiveName":"Deposit Mobilization","ObjectivePercentage":"0.00","Subtasks":[{"SubtasksId":"C986E0F1-935A-4C04-B45B-04C4800C0257","SubtaskName":"Account Management - 3 Customer Visits weekely to check on experience and resolve any arising issues","WeeklyExpectedTarget":"3","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"12","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"36","QuarterlyAchievedTarget":"0"},{"SubtasksId":"10294165-BD77-4EF5-A569-1FCE09995207","SubtaskName":"Random checkins on big account customers for feedback and or suggestions","WeeklyExpectedTarget":"1","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"4","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"12","QuarterlyAchievedTarget":"0"},{"SubtasksId":"BBB386FF-392C-48E1-99FE-869E28557DCE","SubtaskName":"onboarding 4 collections paybill every week","WeeklyExpectedTarget":"4","WeeklyAchievedTarget":"0","MonthlyExpectedTarget":"16","MonthlyAchievedTarget":"0","QuarterlyExpectedTarget":"48","QuarterlyAchievedTarget":"0"}]}]}


